[2018-04-23T16:09:24.609] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 1625 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
[2018-04-23T16:09:24.620] [INFO] logInfo - ::1 - - "GET /robots.txt HTTP/1.1" 404 1811 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
[2018-04-23T16:09:24.726] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
[2018-04-23T16:09:25.463] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
[2018-04-23T16:09:26.040] [INFO] logInfo - ::1 - - "GET /favicon.ico HTTP/1.1" 404 1811 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
[2018-04-23T16:09:27.286] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
[2018-04-23T16:09:32.001] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 1625 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:09:32.081] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:09:32.953] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:09:58.439] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 1625 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:09:58.502] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:10:00.137] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:10:13.247] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 1625 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:10:13.388] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:10:14.100] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:20:03.925] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 - "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:20:03.953] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:20:05.333] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:20:08.942] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 - "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:20:09.025] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:20:09.890] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:18.067] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 1625 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:18.187] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:19.344] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:28.915] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 - "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
